anzahl;vorname;geschlecht
338;Marie;w
295;Sophie;w
193;Maria;w
182;Maximilian;m
152;Paul;m
148;Alexander;m
126;Elias;m
123;Emilia;w
123;Mia;w
120;Johanna;w
115;Ben;m
112;Felix;m
107;Anna;w
104;Noah;m
104;Charlotte;w
103;Sophia;w
102;Jonas;m
102;Leon;m
98;Anton;m
92;Emma;w
91;Jakob;m
89;Mila;w
83;Julian;m
82;David;m
77;Emil;m
77;Luca;m
72;Katharina;w
70;Luisa;w
68;Greta;w
68;Moritz;m
66;Max;m
65;Leo;m
64;Clara;w
63;Lina;w
63;Marlene;w
62;Jonathan;m
61;Elif;w
60;Samuel;m
59;Ida;w
59;Lena;w
58;Benjamin;m
58;Tom;m
57;Jan;m
57;Julius;m
57;Mats;m
57;Philipp;m
56;Sofia;w
56;Louis;m
55;Lara;w
55;Johannes;m
54;Amelie;w
54;Elisa;w
54;Hanna;w
54;Hannah;w
54;Henri;m
53;Lea;w
53;Finn;m
52;Leonie;w
52;Johann;m
52;Tim;m
51;Elisabeth;w
51;Ella;w
51;Luise;w
51;Mina;w
51;Theo;m
50;Julia;w
50;Liam;m
50;Luis;m
50;Lukas;m
49;Niklas;m
48;Karl;m
48;Oskar;m
47;Mira;w
47;Paula;w
47;Gabriel;m
46;Helena;w
46;Henry;m
45;Emily;w
45;Laura;w
45;Vincent;m
44;Lotta;w
44;Ali;m
44;Leonard;m
44;Peter;m
43;Lisa;w
42;Valentin;m
41;Josefine;w
41;Daniel;m
40;Leni;w
40;Muhammed;m
40;Simon;m
39;Matilda;w
39;Milan;m
38;Klara;w
38;Maja;w
38;Victoria;w
37;Mathilda;w
36;Carla;w
36;Nele;w
36;Pauline;w
36;Can;m
35;Frida;w
35;Levi;m
35;Jana;w
35;Ole;m
35;Sara;w
34;Christian;m
34;Antonia;w
33;Josephine;w
32;Carl;m
32;Konstantin;m
32;Louisa;w
31;Justus;m
31;Isabella;w
30;Florian;m
30;Nur;w
30;Jonah;m
30;Pia;w
30;Josef;m
30;Valentina;w
30;Noel;m
30;Theodor;m
29;Frieda;w
29;Emilio;m
29;Joel;m
29;Martin;m
29;Michael;m
29;Mika;m
28;Elena;w
28;Melina;w
28;Ferdinand;m
28;Linus;m
27;Franziska;w
27;Lia;w
27;Martha;w
27;Erik;m
27;Robin;m
27;Thomas;m
27;Yusuf;m
26;Ela;w
26;Isabel;w
26;Nora;w
26;Zeynep;w
26;Joshua;m
25;Lotte;w
25;Sarah;w
25;Zoe;w
25;Adam;m
25;Frederik;m
25;Fritz;m
25;Ilyas;m
25;Matthias;m
24;Alina;w
24;Lilly;w
24;Maya;w
24;Bruno;m
24;Emir;m
24;Friedrich;m
24;Hannes;m
24;Nick;m
24;Raphael;m
23;Carlotta;w
23;Nina;w
23;Constantin;m
23;Fabian;m
23;Kaan;m
23;Matteo;m
23;Mattis;m
22;Miray;w
22;Romy;w
22;Stella;w
22;Tilda;w
22;Viktoria;w
22;Benedikt;m
22;Jasper;m
22;Miran;m
22;Sebastian;m
22;Timo;m
22;Tobias;m
21;Amalia;w
21;Amelia;w
21;Eva;w
21;Julie;w
21;Liya;w
21;Mara;w
21;Yasmin;w
21;Lucas;m
21;Toni;m
20;Helene;w
20;Isabelle;w
20;Lucia;w
20;Meryem;w
20;Olivia;w
20;Heinrich;m
20;Jona;m
20;Luke;m
20;Malik;m
20;Marlon;m
20;Maxim;m
20;Milo;m
20;Mustafa;m
20;Oscar;m
19;Angelina;w
19;Anni;w
19;Deniz;m
19;Eric;m
19;Ibrahim;m
19;Jannis;m
19;Leander;m
19;Nico;m
19;Wilhelm;m
18;Elise;w
18;Linda;w
18;Luna;w
18;Alessio;m
18;Damian;m
18;Johan;m
18;Nicolas;m
17;Alexandra;w
17;Alma;w
17;Aurelia;w
17;Jule;w
17;Louise;w
17;Rosa;w
17;Sofie;w
17;Su;w
17;Carlo;m
17;Lasse;m
17;Leonardo;m
17;Mert;m
17;Richard;m
17;Sami;m
17;Severin;m
16;Amira;w
16;Ava;w
16;Fiona;w
16;Magdalena;w
16;Marleen;w
16;Merle;w
16;Paulina;w
16;Aaron;m
16;Adrian;m
16;Cornelius;m
16;Eren;m
16;Franz;m
16;Georg;m
16;Hamza;m
16;James;m
16;Kian;m
16;Lennard;m
16;Malte;m
16;Michel;m
16;Rafael;m
16;Ömer;m
15;Amina;w
15;Annika;w
15;Christine;w
15;Lou;w
15;Luana;w
15;Marina;w
15;Nisa;w
15;Bennet;m
15;Dominik;m
15;Fynn;m
15;Kerem;m
15;Lennart;m
15;Levin;m
15;Ludwig;m
15;Mohamed;m
15;Selim;m
15;Till;m
15;Yasin;m
14;Anastasia;w
14;Aurora;w
14;Fabienne;w
14;Melissa;w
14;Mona;w
14;Arda;m
14;Caspar;m
14;Elyas;m
14;Enes;m
14;Hans;m
14;Janosch;m
14;Matti;m
14;Nils;m
13;Alessia;w
13;Amélie;w
13;Asya;w
13;Ayla;w
13;Chiara;w
13;Henriette;w
13;Karla;w
13;Livia;w
13;Lucy;w
13;Melek;w
13;Milena;w
13;Ahmet;m
13;Andreas;m
13;Arian;m
13;Efe;m
13;Hugo;m
13;Jacob;m
13;Kilian;m
13;Konrad;m
13;Luka;m
13;Taha;m
13;Yannick;m
12;Hira;w
12;Isabell;w
12;Leyla;w
12;Liv;w
12;Madita;w
12;Rose;w
12;Zehra;w
12;Zoey;w
12;Zoé;w
12;Alex;m
12;Antonio;m
12;Bela;m
12;Bilal;m
12;Christoph;m
12;Clemens;m
12;Hendrik;m
12;Ilias;m
12;Lennox;m
12;Lio;m
12;Maria;m
12;Musa;m
12;Robert;m
12;Semih;m
11;Christina;w
11;Diana;w
11;Dilara;w
11;Edda;w
11;Emilie;w
11;Esma;w
11;Jasmin;w
11;Jolie;w
11;Lilli;w
11;Vanessa;w
11;Benno;m
11;Emin;m
11;Henrik;m
11;Jason;m
11;Laurenz;m
11;Leandro;m
11;Marcel;m
11;Maurice;m
11;Oliver;m
11;Pepe;m
11;Thore;m
11;Yiğit;m
10;Alisa;w
10;Alissa;w
10;Alva;w
10;Annabelle;w
10;Carolina;w
10;Ceylin;w
10;Elin;w
10;Elsa;w
10;Felicitas;w
10;Freya;w
10;Juna;w
10;Lene;w
10;Lucie;w
10;Lynn;w
10;Margarete;w
10;Marta;w
10;Sena;w
10;Theresa;w
10;Abdullah;m
10;Ahmed;m
10;Albert;m
10;Amir;m
10;Bo;m
10;Colin;m
10;Emanuel;m
10;Emilian;m
10;Gustav;m
10;Jannik;m
10;Jürgen;m
10;Kuzey;m
10;Leopold;m
10;Mahir;m
10;Mateo;m
10;Mio;m
10;Otto;m
10;Sam;m
10;Wolfgang;m
9;Alice;w
9;Ana;w
9;Azra;w
9;Dana;w
9;Elina;w
9;Emelie;w
9;Fatima;w
9;Giulia;w
9;Joleen;w
9;Kristin;w
9;Liana;w
9;Linn;w
9;Medina;w
9;Melis;w
9;Milla;w
9;Miriam;w
9;Samira;w
9;Thea;w
9;Theresia;w
9;Arthur;m
9;Dean;m
9;Dennis;m
9;Elia;m
9;Hüseyin;m
9;Janne;m
9;John;m
9;Julien;m
9;Klaus;m
9;Luan;m
9;Mario;m
9;Miguel;m
9;Mikail;m
9;Mohammed;m
9;Neo;m
9;Phil;m
9;Philip;m
9;Rayan;m
9;Victor;m
9;Yannik;m
8;Cansu;w
8;Caroline;w
8;Claudia;w
8;Emely;w
8;Emmi;w
8;Eslem;w
8;Florentine;w
8;Hazal;w
8;Jolina;w
8;Jonna;w
8;Laila;w
8;Letizia;w
8;Lorena;w
8;Maila;w
8;Malou;w
8;Melisa;w
8;Meyra;w
8;Ronja;w
8;Amin;m
8;August;m
8;Bastian;m
8;Berat;m
8;Diego;m
8;Fabio;m
8;Fernando;m
8;Giuseppe;m
8;Jamie;m
8;Jayden;m
8;Kaspar;m
8;Klaas;m
8;Lionel;m
8;Magnus;m
8;Marco;m
8;Mattes;m
8;Mike;m
8;Miraç;m
8;Patrick;m
8;Piet;m
8;Rudolf;m
8;Samir;m
8;Talha;m
8;Titus;m
8;Willi;m
8;Youssef;m
7;Alicia;w
7;Amilia;w
7;Angela;w
7;Annabell;w
7;Aylin;w
7;Cecilia;w
7;Fatma;w
7;Hatice;w
7;Helin;w
7;Ina;w
7;Leah;w
7;Leandra;w
7;Malina;w
7;Marit;w
7;Marla;w
7;Melinda;w
7;Melody;w
7;Michelle;w
7;Nicole;w
7;Noemi;w
7;Rosalie;w
7;Salma;w
7;Therese;w
7;Tuana;w
7;Vera;w
7;Viola;w
7;Adem;m
7;André;m
7;Angelo;m
7;Aras;m
7;Armin;m
7;Conrad;m
7;Dion;m
7;Ediz;m
7;Eduard;m
7;Emre;m
7;Enno;m
7;Ensar;m
7;Eymen;m
7;Gerd;m
7;Henning;m
7;Hermann;m
7;Joachim;m
7;Joseph;m
7;Kadir;m
7;Kevin;m
7;Lenny;m
7;Manuel;m
7;Markus;m
7;Marvin;m
7;Mehmet;m
7;Muhammad;m
7;Nathan;m
7;Nikolaus;m
7;Said;m
7;Salvatore;m
7;Silas;m
7;Sven;m
