anzahl;vorname;geschlecht;position
246;Marie;w;2
158;Maria;w;2
148;Sophie;w;2
107;Paul;m;1
104;Noah;m;1
99;Ben;m;1
94;Jonas;m;1
93;Mila;w;1
92;Marie;w;1
89;Emilia;w;1
89;Felix;m;1
87;Emma;w;1
80;Leon;m;1
79;Mia;w;1
76;Anna;w;1
70;Alexander;m;2
70;Maximilian;m;2
70;Maximilian;m;1
70;Lena;w;1
69;Elias;m;1
65;Anton;m;1
64;Ella;w;1
60;Emil;m;1
59;Sophie;w;1
58;Lea;w;1
58;Jonathan;m;1
58;Sophia;w;1
58;Lukas;m;1
56;Ida;w;1
56;Alexander;m;1
56;Julian;m;1
56;Louis;m;1
55;Paul;m;2
55;Lina;w;1
55;Moritz;m;1
54;David;m;1
54;Jan;m;1
53;Finn;m;1
53;Jakob;m;1
53;Leonard;m;1
53;Oskar;m;1
53;Tom;m;1
52;Clara;w;1
52;Lara;w;1
51;Amelie;w;1
51;Leo;m;1
50;Mats;m;1
48;Liam;m;1
47;Johanna;w;1
47;Paula;w;1
47;Luca;m;1
46;Charlotte;w;1
46;Leni;w;1
46;Luisa;w;1
45;Greta;w;1
45;Henri;m;1
45;Samuel;m;1
44;Johanna;w;2
44;Elisa;w;1
44;Emily;w;1
44;Lotta;w;1
43;Laura;w;1
42;Elias;m;2
42;Hanna;w;1
42;Lia;w;1
42;Max;m;1
40;Henry;m;1
40;Milan;m;1
39;Charlotte;w;2
39;Elisabeth;w;2
38;Hannah;w;1
38;Marlene;w;1
38;Nele;w;1
38;Sofia;w;1
37;Katharina;w;2
36;Anton;m;2
36;Julius;m;1
36;Tim;m;1
35;Maria;w;1
34;Emilia;w;2
34;Philipp;m;1
34;Theo;m;1
33;Elif;w;1
33;Leonie;w;1
33;Mira;w;1
33;Matteo;m;1
32;Luisa;w;2
32;Luise;w;2
32;Carla;w;1
32;Adam;m;1
32;Emir;m;1
32;Karl;m;1
32;Luis;m;1
32;Vincent;m;1
31;Ali;m;2
31;Johannes;m;2
31;Sophia;w;2
30;Johann;m;2
30;Benjamin;m;1
30;Daniel;m;1
29;Nora;w;1
29;Jonah;m;1
28;Elisa;w;2
28;Antonia;w;1
28;Carlotta;w;1
28;Maya;w;1
28;Romy;w;1
28;Muhammed;m;1
28;Niklas;m;1
27;Benjamin;m;2
27;Karl;m;2
27;Frieda;w;1
27;Zeynep;w;1
26;David;m;2
26;Frida;w;1
26;Pauline;w;1
26;Justus;m;1
25;Leonard;m;2
25;Peter;m;2
25;Elena;w;1
25;Lisa;w;1
25;Levi;m;1
25;Luna;w;1
24;Felix;m;2
24;Malik;m;1
24;Ava;w;1
24;Mattis;m;1
24;Helena;w;1
23;Anna;w;2
23;Jakob;m;2
23;Emilio;m;1
23;Ela;w;1
23;Johann;m;1
23;Jana;w;1
23;Ömer;m;1
23;Julia;w;1
23;Mara;w;1
23;Mathilda;w;1
23;Mina;w;1
23;Paulina;w;1
22;Bruno;m;1
22;Carl;m;1
22;Fritz;m;1
22;Gabriel;m;1
22;Hannes;m;1
22;Isabella;w;1
22;Konstantin;m;1
22;Juna;w;1
22;Simon;m;1
22;Matilda;w;1
22;Toni;m;1
22;Sarah;w;1
21;Nur;w;2
21;Christian;m;2
21;Jonathan;m;2
21;Valentin;m;2
21;Aaron;m;1
21;Eva;w;1
21;Frederik;m;1
21;Liya;w;1
21;Joshua;m;1
21;Luise;w;1
21;Linus;m;1
21;Sara;w;1
21;Mika;m;1
21;Piet;m;1
20;Victoria;w;2
20;Lilly;w;1
20;Maja;w;1
20;Ali;m;1
20;Tilda;w;1
20;Erik;m;1
20;Florian;m;1
20;Kian;m;1
20;Leonardo;m;1
20;Mert;m;1
19;Carlotta;w;2
19;Can;m;2
19;Alessia;w;1
19;Klara;w;1
19;Melina;w;1
19;Nina;w;1
19;Stella;w;1
19;Theodor;m;1
18;Marie;w;3
18;Marlene;w;2
18;Noah;m;2
18;Theodor;m;2
18;Louisa;w;1
18;Damian;m;1
18;Meryem;w;1
18;Milo;m;1
18;Rafael;m;1
17;Maria;w;3
17;Su;w;2
17;Frederik;m;2
17;Josef;m;2
17;Julius;m;2
17;Luca;m;2
17;Philipp;m;2
17;Amira;w;1
17;Olivia;w;1
17;Adrian;m;1
17;Hamza;m;1
17;Jasper;m;1
17;Jona;m;1
17;Leandro;m;1
17;Levin;m;1
17;Marlon;m;1
17;Noel;m;1
17;Yusuf;m;1
16;Louisa;w;2
16;Jonas;m;2
16;Giulia;w;1
16;Liv;w;1
16;Thea;w;1
16;Nico;m;1
15;Sofia;w;2
15;Emil;m;2
15;Jan;m;2
15;Joel;m;2
15;Matteo;m;2
15;Jule;w;1
15;Luana;w;1
15;Melek;w;1
15;Pia;w;1
15;Alessio;m;1
15;Eric;m;1
15;Fabian;m;1
15;Ilyas;m;1
15;Johannes;m;1
15;Lasse;m;1
15;Mateo;m;1
15;Mehmet;m;1
15;Nick;m;1
15;Valentin;m;1
14;Elif;w;2
14;Josephine;w;2
14;Leni;w;2
14;Friedrich;m;2
14;Gabriel;m;2
14;Michael;m;2
14;Noel;m;2
14;Alina;w;1
14;Amelia;w;1
14;Amina;w;1
14;Anastasia;w;1
14;Aurelia;w;1
14;Josephine;w;1
14;Merle;w;1
14;Zoe;w;1
14;Arian;m;1
14;Arthur;m;1
14;Benno;m;1
14;Jacob;m;1
14;Jannis;m;1
14;Luke;m;1
14;Maxim;m;1
14;Nils;m;1
14;Ole;m;1
14;Oscar;m;1
13;Malou;w;2
13;Sofie;w;2
13;Henri;m;2
13;Konstantin;m;2
13;Louis;m;2
13;Wilhelm;m;2
13;Elina;w;1
13;Elisabeth;w;1
13;Josefine;w;1
13;Katharina;w;1
13;Linda;w;1
13;Rosa;w;1
13;Carlo;m;1
13;Joel;m;1
13;Miran;m;1
13;Raphael;m;1
13;Robin;m;1
13;Sebastian;m;1
13;Till;m;1
13;Timo;m;1
12;Clara;w;2
12;Greta;w;2
12;Helene;w;2
12;Louise;w;2
12;Andreas;m;2
12;Daniel;m;2
12;Ferdinand;m;2
12;Finn;m;2
12;Liam;m;2
12;Martin;m;2
12;Sebastian;m;2
12;Thomas;m;2
12;Alicia;w;1
12;Fiona;w;1
12;Helin;w;1
12;Martha;w;1
12;Selin;w;1
12;Victoria;w;1
12;Zehra;w;1
12;Antonio;m;1
12;Aras;m;1
12;Bela;m;1
12;Can;m;1
12;Fynn;m;1
12;Jannik;m;1
12;Kaan;m;1
12;Kilian;m;1
12;Lars;m;1
12;Lennard;m;1
12;Luan;m;1
12;Lucas;m;1
12;Mark;m;1
12;Mohamed;m;1
12;Mohammed;m;1
12;Mustafa;m;1
11;Ela;w;2
11;Isabel;w;2
11;Marleen;w;2
11;Mia;w;2
11;Benedikt;m;2
11;Emin;m;2
11;Julian;m;2
11;Leo;m;2
11;Leon;m;2
11;Matthias;m;2
11;Samuel;m;2
11;Amélie;w;1
11;Asya;w;1
11;Enna;w;1
11;Maryam;w;1
11;Melissa;w;1
11;Melody;w;1
11;Theresa;w;1
11;Valentina;w;1
11;Bilal;m;1
11;Johan;m;1
11;Lennart;m;1
11;Lio;m;1
11;Matti;m;1
11;Mohammad;m;1
11;Neo;m;1
11;Oliver;m;1
11;Titus;m;1
11;Tobias;m;1
10;Amalia;w;2
10;Elise;w;2
10;Hannah;w;2
10;Josefine;w;2
10;Lou;w;2
10;Mathilda;w;2
10;Matilda;w;2
10;Pauline;w;2
10;Antonio;m;2
10;Cem;m;2
10;Luis;m;2
10;Oskar;m;2
10;Vincent;m;2
10;Aleyna;w;1
10;Amalia;w;1
10;Azra;w;1
10;Fatima;w;1
10;Isabel;w;1
10;Livia;w;1
10;Malia;w;1
10;Mariam;w;1
10;Miray;w;1
10;Mona;w;1
10;Benedikt;m;1
10;Caspar;m;1
10;Clemens;m;1
10;Lenn;m;1
10;Lian;m;1
10;Luka;m;1
10;Milian;m;1
10;Mio;m;1
10;Phil;m;1
10;Yasin;m;1
10;Yiğit;m;1
9;Christine;w;2
9;Lara;w;2
9;Martha;w;2
9;Rosa;w;2
9;Sara;w;2
9;Viktoria;w;2
9;Christopher;m;2
9;Deniz;m;2
9;Efe;m;2
9;Fritz;m;2
9;Henry;m;2
9;Joseph;m;2
9;Joshua;m;2
9;Levi;m;2
9;Milan;m;2
9;Oliver;m;2
9;Robert;m;2
9;Theo;m;2
9;Alma;w;1
9;Anni;w;1
9;Chiara;w;1
9;Edda;w;1
9;Elise;w;1
9;Emelie;w;1
9;Emilie;w;1
9;Finja;w;1
9;Jasmin;w;1
9;Kira;w;1
9;Lilli;w;1
9;Lotte;w;1
9;Mayla;w;1
9;Vanessa;w;1
9;Alex;m;1
9;Berat;m;1
9;Eymen;m;1
9;Henrik;m;1
9;Hugo;m;1
9;Pepe;m;1
9;Sami;m;1
9;Selim;m;1
8;Sophie;w;3
8;Antonia;w;2
8;Elena;w;2
8;Eva;w;2
8;Helena;w;2
8;Isabelle;w;2
8;Leonie;w;2
8;Lina;w;2
8;Lucia;w;2
8;Mina;w;2
8;Naz;w;2
8;Ben;m;2
8;Elyas;m;2
8;Emir;m;2
8;Georg;m;2
8;Jasper;m;2
8;Lukas;m;2
8;Mattis;m;2
8;Niklas;m;2
8;Oscar;m;2
8;Raphael;m;2
8;Alisa;w;1
8;Alva;w;1
8;Amy;w;1
8;Annika;w;1
8;Dalia;w;1
8;Eleni;w;1
8;Elli;w;1
8;Hira;w;1
8;Jette;w;1
8;Leana;w;1
8;Malou;w;1
8;Marla;w;1
8;Milena;w;1
8;Philippa;w;1
8;Selina;w;1
8;Soraya;w;1
8;Zoé;w;1
8;Abdullah;m;1
8;Adem;m;1
8;Ahmet;m;1
8;Aron;m;1
8;Ayaz;m;1
8;Constantin;m;1
8;Deniz;m;1
8;Diego;m;1
8;Emilian;m;1
8;Enno;m;1
8;Fabio;m;1
8;Ian;m;1
8;Jason;m;1
8;Jayden;m;1
8;Jonte;m;1
8;Julien;m;1
8;Leopold;m;1
8;Lias;m;1
8;Michel;m;1
8;Mikail;m;1
8;Nicolas;m;1
8;Sam;m;1
8;Yunus;m;1
7;Alexandra;w;2
7;Ida;w;2
7;Isabella;w;2
7;Julia;w;2
7;Lena;w;2
7;Liv;w;2
7;Lotta;w;2
7;Magdalena;w;2
7;Michelle;w;2
7;Adrian;m;2
7;Albert;m;2
7;August;m;2
7;Carl;m;2
7;Eren;m;2
7;Florian;m;2
7;Gustav;m;2
7;Johan;m;2
7;Kaan;m;2
7;Linus;m;2
7;Malik;m;2
7;Maria;m;2
7;Max;m;2
7;Osman;m;2
7;Simon;m;2
7;Stefan;m;2
7;Adriana;w;1
7;Alice;w;1
7;Alissa;w;1
7;Bella;w;1
7;Cleo;w;1
7;Daria;w;1
7;Dilara;w;1
7;Emely;w;1
7;Erva;w;1
7;Esila;w;1
7;Franziska;w;1
7;Karla;w;1
7;Leah;w;1
7;Leyla;w;1
7;Medina;w;1
7;Milla;w;1
7;Miriam;w;1
7;Nela;w;1
7;Nika;w;1
7;Nisa;w;1
7;Rosalie;w;1
7;Ruby;w;1
7;Tuana;w;1
7;Valeria;w;1
7;Viktoria;w;1
7;Yasmin;w;1
7;Amir;m;1
7;Dario;m;1
7;Elian;m;1
7;Emin;m;1
7;Ensar;m;1
7;Hendrik;m;1
7;Jon;m;1
7;Joris;m;1
7;Joscha;m;1
7;Juri;m;1
7;Kenan;m;1
7;Kerem;m;1
7;Konrad;m;1
7;Malte;m;1
7;Manuel;m;1
7;Marcel;m;1
7;Pablo;m;1
7;Philip;m;1
7;Rayan;m;1
7;Roman;m;1
7;Youssef;m;1
6;Anton;m;3
6;Maximilian;m;3
6;Paul;m;3
6;Peter;m;3
6;Johanna;w;3
6;Amelie;w;2
6;Barbara;w;2
6;Frieda;w;2
6;Julie;w;2
6;Margarete;w;2
6;Melody;w;2
6;Mira;w;2
6;Olivia;w;2
6;Ronja;w;2
6;Rose;w;2
6;Valentina;w;2
6;Ahmet;m;2
6;Amir;m;2
6;Erik;m;2
6;Franz;m;2
6;Hamza;m;2
6;Justus;m;2
6;Manuel;m;2
6;Ole;m;2
6;Pepe;m;2
6;Robin;m;2
6;Rudolf;m;2
6;William;m;2
6;Ada;w;1
6;Alexandra;w;1
6;Amanda;w;1
6;Amara;w;1
6;Amine;w;1
6;Angelina;w;1
6;Anisa;w;1
6;Annabelle;w;1
6;Ayla;w;1
6;Cataleya;w;1
6;Claire;w;1
6;Diana;w;1
6;Elin;w;1
6;Flora;w;1
6;Hazal;w;1
6;Isabell;w;1
6;Isabelle;w;1
6;Julie;w;1
6;Karlotta;w;1
6;Kiara;w;1
6;Laila;w;1
6;Lana;w;1
6;Lilia;w;1
6;Lorena;w;1
6;Ahmed;m;1
6;Lorin;w;1
6;Alessandro;m;1
6;Lynn;w;1
6;Arda;m;1
6;Mavi;w;1
6;Bennet;m;1
6;Nila;w;1
6;Christopher;m;1
6;Noemi;w;1
6;Colin;m;1
6;Rania;w;1
6;Darian;m;1
6;Ronja;w;1
6;Ediz;m;1
6;Selma;w;1
6;Eliah;m;1
6;Sofie;w;1
6;Elyas;m;1
6;Zara;w;1
6;Enes;m;1
6;Eray;m;1
6;Ferdinand;m;1
6;Giuliano;m;1
6;Ibrahim;m;1
6;Ilias;m;1
6;Imran;m;1
6;Jerome;m;1
6;John;m;1
6;Kadir;m;1
6;Karlo;m;1
6;Lenny;m;1
6;Lion;m;1
6;Lutz;m;1
6;Marc;m;1
6;Marco;m;1
6;Matthias;m;1
6;Michael;m;1
6;Miraç;m;1
6;Rocco;m;1
6;Semih;m;1
6;Severin;m;1
6;Taylan;m;1
6;Tiago;m;1
6;Tilo;m;1
6;Umut;m;1
6;Vito;m;1
6;Yahya;m;1
5;Josef;m;3
5;Charlotte;w;3
5;Elisabeth;w;3
5;Alicia;w;2
5;Azra;w;2
5;Ella;w;2
5;Friederike;w;2
5;Gabriele;w;2
5;Grace;w;2
5;Hanna;w;2
5;Jasmin;w;2
5;Joleen;w;2
5;Lotte;w;2
5;Madita;w;2
5;Mae;w;2
5;Malina;w;2
5;Marina;w;2
5;Mathilde;w;2
5;Medina;w;2
5;Melek;w;2
5;Naomi;w;2
5;Paula;w;2
5;Rosalie;w;2
5;Sena;w;2
5;Thea;w;2
5;Zeynep;w;2
5;Zoe;w;2
5;Bastian;m;2
5;Bernd;m;2
5;Caspar;m;2
5;Constantin;m;2
5;Eduard;m;2
5;Emre;m;2
5;Erich;m;2
5;Eymen;m;2
5;Francesco;m;2
5;Giuseppe;m;2
5;Heinrich;m;2
5;Henrik;m;2
5;John;m;2
5;Leander;m;2
5;Leopold;m;2
5;Mats;m;2
5;Mika;m;2
5;Moritz;m;2
5;Nicolas;m;2
5;Otto;m;2
5;Patrick;m;2
5;Philip;m;2
5;Richard;m;2
5;Sami;m;2
5;Sascha;m;2
5;Talha;m;2
5;Tobias;m;2
5;Tom;m;2
5;Umut;m;2
5;Werner;m;2
5;Wolfgang;m;2
5;Alara;w;1
5;Alena;w;1
5;Aliya;w;1
5;Anouk;w;1
5;Aurora;w;1
5;Carolin;w;1
5;Carolina;w;1
5;Ceylin;w;1
5;Defne;w;1
5;Elissa;w;1
5;Eslem;w;1
5;Ina;w;1
5;Joleen;w;1
5;Linn;w;1
5;Linnea;w;1
5;Lou;w;1
5;Lucia;w;1
5;Lucy;w;1
5;Madeleine;w;1
5;Madita;w;1
5;Malin;w;1
5;Malina;w;1
5;Mariella;w;1
5;Marina;w;1
5;Marleen;w;1
5;Mathea;w;1
5;Melis;w;1
5;Melisa;w;1
5;Alend;m;1
5;Merve;w;1
5;Amar;m;1
5;Michelle;w;1
5;Amin;m;1
5;Mieke;w;1
5;Andreas;m;1
5;Natalie;w;1
5;Arne;m;1
5;Samira;w;1
5;Artin;m;1
5;Yara;w;1
5;Artur;m;1
5;Yuna;w;1
5;Baran;m;1
5;Zoey;w;1
5;Bo;m;1
5;Zümra;w;1
5;Charlie;m;1
5;Christian;m;1
5;Edwin;m;1
5;Eliano;m;1
5;Fiete;m;1
5;Filip;m;1
5;Giuseppe;m;1
5;Halil;m;1
5;Hasan;m;1
5;Jakub;m;1
5;Jamal;m;1
5;Jamie;m;1
5;Jannes;m;1
5;Jaro;m;1
5;Jesse;m;1
5;Jim;m;1
5;Junis;m;1
5;Karim;m;1
5;Kerim;m;1
5;Keyan;m;1
5;Len;m;1
5;Leonas;m;1
5;Leonhard;m;1
5;Leonidas;m;1
5;Markus;m;1
5;Miguel;m;1
5;Miro;m;1
5;Nelio;m;1
5;Niclas;m;1
5;Omar;m;1
5;Peter;m;1
5;Quentin;m;1
5;Salvatore;m;1
5;Samir;m;1
5;Silas;m;1
5;Stefan;m;1
5;Taha;m;1
5;Younes;m;1
4;Alexander;m;3
4;Christian;m;3
4;Rosa;w;3
4;Johann;m;3
4;Johannes;m;3
4;Michael;m;3
4;Wilhelm;m;3
4;Agnes;w;2
4;Alexa;w;2
4;Amélie;w;2
4;Anastasia;w;2
4;Christa;w;2
4;Christiane;w;2
4;Elli;w;2
4;Emily;w;2
4;Erika;w;2
4;Esma;w;2
4;Estelle;w;2
4;Felicitas;w;2
4;Florentine;w;2
4;Henriette;w;2
4;Hermine;w;2
4;Hope;w;2
4;Kaur;w;2
4;Klara;w;2
4;Lia;w;2
4;Lisa;w;2
4;Luana;w;2
4;Mara;w;2
4;Melina;w;2
4;Philippa;w;2
4;Romy;w;2
4;Ruth;w;2
4;Theresa;w;2
4;Theresia;w;2
4;Valeria;w;2
4;Zahra;w;2
4;Aaron;m;2
4;Adam;m;2
4;Alessio;m;2
4;Alp;m;2
4;Amin;m;2
4;André;m;2
4;Angelo;m;2
4;Artur;m;2
4;Bruno;m;2
4;Carlos;m;2
4;Damian;m;2
